company,category,description,website,photo,logo,status
Newlab,Founding Partner,"A venture platform for critical technology startups that work in core industrial sectors like energy, mobility, and materials. In 2023, Michigan Central chose Newlab as a key partner to help build the best innovation community and connect it to infrastructure, resources, and capital in order to commercialize new technology and scale. A Michigan Central Founding Partner.",https://www.newlab.com/,https://cdn.mos.cms.futurecdn.net/r47wEaLZJC9FYhveGMV9DT.jpg,https://cdn.prod.website-files.com/677376e1e97650585235ab96/679478f6890c398e49c3ec2b_Newlab_Logo_Black.svg,Founding partner
Google,"Founding Partner, Corporate Partner","A global technology leader whose mission is to organize the world’s information and make it universally accessible and useful. Google drives innovation across software, hardware, AI, community development, education, and more. Google has been a core Michigan Central partner since 2022, focusing on providing STEM training to Detroiters that will help equip them for future careers. A Michigan Central Founding Partner.",https://www.google.com/,https://dkblpgulxnaczvfnjcwf.supabase.co/storage/v1/object/public/photos/Google_Network%20Screen.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Founding partner
Henry Ford Health,"Founding Partner, Corporate Partner","One of the nation's leading health systems, based in Detroit, providing health services through its hospitals and medical centers, while also conducting critical research. Henry Ford Health and Michigan Central formed a partnership in 2024 to pioneer new solutions at the intersection of mobility and healthcare, like accessibility and medical supply chain. A Michigan Central Founding Partner.",https://www.henryford.com/,https://www.henryford.com/-/media/project/hfhs/henryford/hero-images/henry-ford/homepage/full-width-image-hero-default/img-home-hero-desktop-20/here-for-your-health-hero-image-2024/here-for-your-health-hero-image-2024/henry-ford-health-hero.jpg,https://www.henryford.com/-/media/project/hfhs/henryford/header-logo/hfh-logo-main-(1).svg?iar=0&hash=F6049510E33E4E6D8196C26CCC0A64A4,Founding partner
Ford Motor Company,"Founding Partner, Corporate Partner","A global automotive company founded in Detroit in 1903, and the visionary behind Michigan Central. Driven by their purpose to build a better world where every person is free to move and pursue their dreams, Ford restored the historic train station and set the creation of the 30-acre innovation hub in motion. Ford electric and commercial vehicle teams amd integrated services teams are located on the campus among the many other members and partners in the ecosystem. A Michigan Central Founding Partner.",https://www.ford.com/,https://dkblpgulxnaczvfnjcwf.supabase.co/storage/v1/object/public/photos/Ford_Network.webp,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTugkBmCLF_giILpgSWeZ8t2DzdL7rNmT4s7w&s,Founding partner
The City of Detroit,"Founding Partner, Government","A supporter of Michigan Central since 2018 when The Station restoration and 30-acre hub was announced. The City collaborated with Michigan Central to create the Transportation Innovation Zone (TIZ), a four-square-mile area surrounding The Station where companies can test solutions in a real-world environment. A Michigan Central Founding Partner.",https://detroitmi.gov/,https://detroitmi.gov/sites/detroitmi.localhost/files/2025-06/HomePage_Hero_1.jpg,https://detroitmi.gov/themes/custom/detroitminew/logo.svg,Founding partner
The State of Michigan,"Founding Partner, Government","A supporter of Michigan Central since 2018 when restoration of The Station and the 30-acre hub was announced. The State partnered with Michigan Central to establish the Advanced Aerial Innovation Region (AAIR), a 3-mile urban aerial mobility testing zone, and has launched innovation funds such as the Advanced Air Mobility Fund, which awarded Michigan Central a grant in 2024. A Michigan Central Founding Partner.",https://www.michigan.gov/som,https://cdn.prod.website-files.com/65c44bbccb9a41d80dd87dc3/65de4fa8b82a29b419f7d5d4_shutterstock_2035063268%20Large.jpeg,https://www.michigan.gov/som/-/media/Project/Websites/shared/Site-Logos/MichiganGlobal-logo-Icon.svg?rev=e29162c06c174283bdf2106d78d932ac&hash=EB87B3871890A39F0900CDF708DBE7A3,Founding partner
Pratt Miller,Corporate Partner,A company that specializes in motorsports and defense technology. They are known for their engineering and manufacturing capabilities in these fields.,https://www.prattmiller.com/,https://www.prattmiller.com/wp-content/uploads/2023/04/hero-banner-racecar2.png,https://www.prattmiller.com/wp-content/uploads/2025/08/Logo_PrattMiller_Endorser_Horiz_white.svg,Corporate partner
Amazon,Corporate Partner,"A multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the largest online retailers in the world.",www.Amazon.com,https://assets.aboutamazon.com/45/9c/14ea4d214798863d8752e37f174c/free-delivery-inline.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Amazon_logo.svg/2560px-Amazon_logo.svg.png,Corporate partner
Bank of America,Corporate Partner,"One of the world's leading financial institutions, serving millions of individual consumers, small businesses, and large corporations. It offers a wide range of financial services, including banking, investing, asset management, and other risk management products.",https://www.bankofamerica.com/,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-site-homepage-masthead-container-module-Default-Masthead-1024x412-CSX5a9e17fd.jpg,https://www2.bac-assets.com/homepage/spa-assets/images/assets-images-global-logos-bac-logo-v2-CSX3648cbbb.svg,Corporate partner
Detroit Employment Solutions Corporation (DESC),Government,"The City of Detroit's workforce agency, connecting employers with talent and providing career services to job seekers. Acting as the administrative and fiscal agent for the Mayor's Workforce Development Board, it operates the Detroit at Work career centers to offer training, job placement, and supportive services. ",https://descmiworks.org/,https://descmiworks.org/wp-content/uploads/iStock-1098023604-scaled.jpg,https://descmiworks.org/wp-content/uploads/site-logo.svg,Government
